crap: complexity measured from source for 1859/1970 clauses (94.4%); 111 not gated (templates / generated / macro-injected).
crap: 18/1445 functions have no coverage data and are NOT gated. Pass --on-no-coverage zero to treat them as uncovered, or check your --coverdata is complete.
FUNCTION                                                     CC  COV%   CRAP
Mut.SourceSpan.Compute.from_meta/3                           2   0.0    6.0 
Mut.TestSelection.for_plan/2                                 2   0.0    6.0 
Mut.TestSelection.Coverage.function_tests/2                  4   50.0   6.0 
Mut.Trace.trace/2                                            2   0.0    6.0 
Mut.Trace.Writer.stop/0                                      2   0.0    6.0 
Mut.Worker.dependent_modules/1                               2   0.0    6.0 
Mut.Worker.read_manifest/2                                   2   0.0    6.0 
Mut.Worker.recompile_output/2                                2   0.0    6.0 
Mut.Worker.spawn_fallback_mix/4                              2   0.0    6.0 
Mut.Worker.Formatter.maybe_put_error/2                       2   0.0    6.0 
Mut.Worker.Formatter.test_finished_event/2                   2   0.0    6.0 
Mut.Worker.Formatter.test_name/1                             2   0.0    6.0 
Mut.Mutator.FunctionReplace.call_shape?/1                    5   66.7   5.9 
Mut.Orchestrator.fallback_env_context/3                      5   66.7   5.9 
Mut.Coverage.Runner.run_test_file/4                          5   70.0   5.7 
Mut.AstWalk.function_head_walk_tail?/1                       3   33.3   5.7 
Mut.Mutator.ClauseDelete.try_section_key/1                   3   33.3   5.7 
Mut.Reporter.StrykerJson.killed_by/1                         3   33.3   5.7 
Mut.Reporter.StrykerJson.replacement/1                       3   33.3   5.7 
Mut.Reporter.Terminal.group_key/1                            3   33.3   5.7 
Mut.SchemaPlacer.function_head_tail?/1                       3   33.3   5.7 
Mut.AstWalk.leftmost_position/1                              5   75.0   5.4 
Mut.EnvWalker.function_name_arity/1                          5   75.0   5.4 
Mut.Mutator.NegateConditional.strip_meta/1                   5   75.0   5.4 
Mut.EnvWalker.literal_end_byte/4                             5   77.8   5.3 
Mut.AstWalk.pattern_vars/1                                   5   80.0   5.2 
Mut.SchemaPlacer.schema_arm_ids/1                            5   80.0   5.2 
Mut.AstWalk.maybe_schema_literal_candidate/3                 5   83.3   5.1 
Mut.Sandbox.create_pool/3                                    5   83.3   5.1 
Mut.SchemaPlacer.schema_entries/1                            5   83.3   5.1 
Mut.Recompile.recompile/4                                    5   85.7   5.1 
Mut.TestSelection.Coverage.static_evidence?/3                5   85.7   5.1 
Mut.AstWalk.rt_visit/2                                       5   87.5   5.0 
Mut.Match.resolve_pairs/2                                    5   87.5   5.0 
Mut.SchemaPlacer.schema_arm_entries/1                        4   60.0   5.0 
Mut.SchemaPlacer.post/2                                      5   91.7   5.0 
Mut.Bootstrap.role/0                                         5   100.0  5.0 
Mut.Cli.mutators/2                                           5   100.0  5.0 
Mut.Coverage.Parser.parse/4                                  5   100.0  5.0 
Mut.EnvWalker.maybe_emit_map_candidate/3                     5   100.0  5.0 
Mut.Metrics.record_selection/5                               5   100.0  5.0 
Mut.Mutator.ConcatOperator.compatible?/2                     5   100.0  5.0 
Mut.Mutator.NegateConditional.build_mutations/1              5   100.0  5.0 
Mut.Mutator.VariableReplace.applicable?/2                    5   100.0  5.0 
Mut.OracleBuild.build_oracle/1                               5   100.0  5.0 
Mut.Orchestrator.original_source/2                           5   100.0  5.0 
Mut.SchemaPlacer.maybe_record_body_group/2                   5   100.0  5.0 
Mut.TestSelection.Coverage.select/6                          5   100.0  5.0 
Mut.TestSelection.Static.dynamic_dispatch?/1                 5   100.0  5.0 
Mut.TestSelection.Static.traverse/3                          5   100.0  5.0 
Mut.Trace.normalize/6                                        5   100.0  5.0 
Mut.Worker.classify/2                                        5   100.0  5.0 
Mut.WorkCopy.prepare_destination/2                           4   62.5   4.8 
Mut.ChildProcess.run/3                                       4   66.7   4.6 
Mut.EnvWalker.collection_literal?/1                          4   66.7   4.6 
Mut.EnvWalker.split_head/2                                   4   66.7   4.6 
Mut.SchemaBuild.reroute_refused/2                            2   14.3   4.5 
Mut.AstWalk.mu_visit/2                                       4   75.0   4.3 
Mut.Cli.max_mutants/1                                        4   75.0   4.3 
Mut.EnvWalker.scan_delimiter_close/4                         4   75.0   4.3 
Mut.Orchestrator.original_dispatch/3                         4   75.0   4.3 
Mut.SchemaBuild.maybe_remove_work_copy/3                     4   75.0   4.3 
Mut.AstWalk.raises_only?/1                                   4   80.0   4.1 
Mut.TestSelection.Coverage.match_kind/5                      4   80.0   4.1 
Mut.TestSelection.Coverage.static_tests/3                    4   80.0   4.1 
Mut.ChildProcess.collect/3                                   3   50.0   4.1 
Mut.Coverage.Runner.run_mix/3                                3   50.0   4.1 
Mut.EnvWalker.generated_file?/2                              3   50.0   4.1 
Mut.FileCopy.cow_copy/2                                      3   50.0   4.1 
Mut.Match.ends_after_or_at?/3                                3   50.0   4.1 
Mut.Match.starts_before_or_at?/3                             3   50.0   4.1 
Mut.Metrics.increment_recompile_category/3                   3   50.0   4.1 
Mut.Mutator.ClauseDelete.clause_index/1                      3   50.0   4.1 
Mut.Mutator.ClauseDelete.section/1                           3   50.0   4.1 
Mut.Mutator.FunctionReplace.mutate/2                         3   50.0   4.1 
Mut.Mutator.PipelineDropStage.stage_index/1                  3   50.0   4.1 
Mut.Mutator.StatementDelete.stmt_index/1                     3   50.0   4.1 
Mut.OracleBuild.run_child_mix/2                              3   50.0   4.1 
Mut.Orchestrator.env_walker_results/4                        3   50.0   4.1 
Mut.Orchestrator.reclassified_reason/3                       3   50.0   4.1 
Mut.Reporter.StrykerJson.validate_thresholds/2               3   50.0   4.1 
Mut.Reporter.Terminal.incremental_block/1                    3   50.0   4.1 
Mut.SchemaBuild.run_child_mix/2                              3   50.0   4.1 
Mut.SchemaPlacer.clause_head_pattern_path?/1                 3   50.0   4.1 
Mut.Cli.worker_type/2                                        4   85.7   4.0 
Mut.Sandbox.do_all_files/1                                   4   85.7   4.0 
Mut.Cli.parse_argv/1                                         4   87.5   4.0 
Mut.EnvOracle.add_snapshot/2                                 4   87.5   4.0 
Mut.EnvWalker.collection_span/2                              4   87.5   4.0 
Mut.Sandbox.prepare_parent/2                                 4   87.5   4.0 
Mut.AstWalk.ignored_modules/1                                4   88.9   4.0 
Mut.Bootstrap.Overlay.install_umbrella_overlay/2             4   88.9   4.0 
Mut.Reporter.Terminal.phase_block/1                          4   88.9   4.0 
Mut.Bootstrap.Overlay.materialize/2                          4   90.0   4.0 
Mut.Reporter.StrykerJson.mutalisk_extension/3                4   92.9   4.0 
Mut.Application.parse_active/1                               4   100.0  4.0 
Mut.AstWalk.emit_try_section/5                               4   100.0  4.0 
Mut.AstWalk.scalar_literal?/1                                4   100.0  4.0 
Mut.ChildProcess.retryable?/2                                4   100.0  4.0 
Mut.Cli.fail_at/2                                            4   100.0  4.0 
Mut.Cli.test_timeout_ms/2                                    4   100.0  4.0 
Mut.Coverage.Runner.run/2                                    4   100.0  4.0 
Mut.EnvOracle.macro_kind?/1                                  4   100.0  4.0 
Mut.EnvSnapshot.skip_reason/1                                4   100.0  4.0 
Mut.EnvWalker.literal_span/3                                 4   100.0  4.0 
Mut.EnvWalker.literal_value?/1                               4   100.0  4.0 
Mut.EnvWalker.maybe_emit_collection_candidate/4              4   100.0  4.0 
Mut.EnvWalker.maybe_emit_ntuple_candidate/3                  4   100.0  4.0 
Mut.EnvWalker.maybe_emit_variable_candidate/4                4   100.0  4.0 
Mut.EnvWalker.variable_span/3                                4   100.0  4.0 
Mut.History.Reuse.decide/4                                   4   100.0  4.0 
Mut.History.Store.load/1                                     4   100.0  4.0 
Mut.History.Store.record_for/4                               4   100.0  4.0 
Mut.Metrics.handle_call/3                                    4   100.0  4.0 
Mut.MixManifest.deps_for_kind/2                              4   100.0  4.0 
Mut.Mutator.Arithmetic.compatible?/2                         4   100.0  4.0 
Mut.Mutator.BitwiseOperator.compatible?/2                    4   100.0  4.0 
Mut.Mutator.ClauseDelete.applicable?/2                       4   100.0  4.0 
Mut.Mutator.CollectionEmpty.build_mutations/1                4   100.0  4.0 
Mut.Mutator.ComparisonBoundary.compatible?/2                 4   100.0  4.0 
Mut.Mutator.ComparisonNegation.compatible?/2                 4   100.0  4.0 
